#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
125	ENST00000396401.3	chr8	-	54879111	54935008	54880663	54934685	9	54879111,54882951,54891584,54896922,54899528,54900673,54906227,54912504,54934622,	54880672,54883023,54891731,54897077,54899585,54900819,54906315,54912610,54935008,	0	TCEA1	cmpl	cmpl	0,0,0,1,1,2,1,0,0,
125	ENST00000521604.2	chr8	-	54879115	54935089	54880663	54934685	10	54879115,54882951,54891584,54896922,54899528,54900673,54906227,54912504,54922989,54934622,	54880672,54883023,54891731,54897077,54899585,54900819,54906315,54912610,54923052,54935089,	0	TCEA1	cmpl	cmpl	0,0,0,1,1,2,1,0,0,0,
125	ENST00000521086.2	chr8	-	54879119	54934825	54879119	54879119	12	54879119,54882951,54891082,54891584,54896922,54899528,54900673,54906227,54912504,54915451,54922989,54934622,	54880672,54883023,54891257,54891731,54897077,54899585,54900819,54906315,54912610,54915652,54923052,54934825,	0	TCEA1	none	none	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
125	ENST00000522635.1	chr8	-	54879729	54934829	54880663	54934685	5	54879729,54882951,54891584,54922989,54934622,	54880672,54883023,54891731,54923052,54934829,	0	TCEA1	cmpl	cmpl	0,0,0,0,0,
125	ENST00000520534.1	chr8	-	54905935	54934708	54906211	54934685	4	54905935,54912504,54922989,54934622,	54906315,54912610,54923052,54934708,	0	TCEA1	cmpl	cmpl	1,0,0,0,
125	ENST00000518784.1	chr8	-	54912184	54934719	54912463	54934685	3	54912184,54922989,54934622,	54912610,54923052,54934719,	0	TCEA1	cmpl	cmpl	0,0,0,
219	ENST00000303391.6	chrX	-	153287023	153363212	153295817	153357667	4	153287023,153297657,153357641,153363060,	153296901,153298008,153357765,153363212,	0	MECP2	cmpl	cmpl	2,2,0,-1,
219	ENST00000453960.2	chrX	-	153295684	153363177	153295817	153363122	3	153295684,153297657,153363060,	153296901,153298008,153363177,	0	MECP2	cmpl	cmpl	2,2,0,
219	ENST00000407218.1	chrX	-	153296463	153363148	153296650	153357667	5	153296463,153296846,153297657,153357641,153363060,	153296737,153296901,153298008,153357765,153363148,	0	MECP2	cmpl	cmpl	0,2,2,0,-1,
1754	ENST00000460227.1	chrX	-	153297884	153314932	153297884	153297884	4	153297884,153305242,153313632,153313967,	153298008,153305354,153313730,153314932,	0	MECP2	none	none	-1,-1,-1,-1,
126	ENST00000348428.3	chr18	+	56338617	56417371	56338875	56415074	17	56338617,56348401,56363597,56367672,56376609,56377207,56378152,56381314,56383166,56390279,56400628,56401538,56402433,56409096,56411569,56412897,56414636,	56339084,56348568,56363719,56367823,56376788,56377304,56378185,56381341,56383199,56390483,56400806,56401613,56402561,56409246,56411727,56413023,56417371,	0	MALT1	cmpl	cmpl	0,2,1,0,1,0,1,1,1,1,1,2,2,1,1,0,0,
126	ENST00000345724.3	chr18	+	56338763	56415386	56338875	56415074	16	56338763,56348401,56363597,56367672,56376609,56377207,56381314,56383166,56390279,56400628,56401538,56402433,56409096,56411569,56412897,56414636,	56339084,56348568,56363719,56367823,56376788,56377304,56381341,56383199,56390483,56400806,56401613,56402561,56409246,56411727,56413023,56415386,	0	MALT1	cmpl	cmpl	0,2,1,0,1,0,1,1,1,1,2,2,1,1,0,0,
